序号,刊物简称,刊物全称,出版社,网址,学科,文章类别,CCF级别
1,TOCS,ACM Transactions on Computer Systems,ACM,http://dblp.uni-trier.de/db/journals/tocs/,计算机体系结构/并行与分布计算/存储系统,期刊,A
2,TOC,IEEE Transactions on Computers,IEEE,http://dblp.uni-trier.de/db/journals/tc/index.html,计算机体系结构/并行与分布计算/存储系统,期刊,A
3,TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/journals/tpds/,计算机体系结构/并行与分布计算/存储系统,期刊,A
4,TCAD,IEEE Transactions On Computer-Aided Design Of Integrated Circuits And System,IEEE,http://dblp.uni-trier.de/db/journals/tcad/,计算机体系结构/并行与分布计算/存储系统,期刊,A
5,TOS,ACM Transactions on Storage,ACM,http://dblp.uni-trier.de/db/journals/tos/,计算机体系结构/并行与分布计算/存储系统,期刊,C
6,,Concurrency and Computation:Practice and Experience,Wiley,http://dblp.uni-trier.de/db/journals/concurrency/,计算机体系结构/并行与分布计算/存储系统,期刊,C
7,DC,Distributed Computing,Springer,http://dblp.uni-trier.de/db/journals/dc/,计算机体系结构/并行与分布计算/存储系统,期刊,C
8,FGCS,Future Generation Computer Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fgcs/,计算机体系结构/并行与分布计算/存储系统,期刊,C
9,,"Integration, the VLSI Journal",Elsevier,http://dblp.uni-trier.de/db/journals/integration/,计算机体系结构/并行与分布计算/存储系统,期刊,C
10,,Microprocessors and Microsystems:Embedded Hardware Design,Elsevier,http://dblp.uni-trier.de/db/journals/mam/,计算机体系结构/并行与分布计算/存储系统,期刊,C
11,JGC,The Journal of Grid computing,Springer,http://dblp.uni-trier.de/db/journal/10723,计算机体系结构/并行与分布计算/存储系统,期刊,C
12,TYSC,The Journal of Supercomputing,Springer,http://dblp.uni-trier.de/db/journals/tjs/,计算机体系结构/并行与分布计算/存储系统,期刊,C
13,JETC,The ACM Journal on Emerging Technologies in Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/jetc/,计算机体系结构/并行与分布计算/存储系统,期刊,C
14,JETC,Journal of Electronic Testing-Theory and Applications,Springer,http://dblp.uni-trier.de/db/journal/10836,计算机体系结构/并行与分布计算/存储系统,期刊,C
15,RTS,Real-Time Systems,Springer,http://dblp.uni-trier.de/db/journals/rts/,计算机体系结构/并行与分布计算/存储系统,期刊,C
16,TACO,ACM Transactions on Architecture and Code Optimization,ACM,http://dblp.uni-trier.de/db/journals/taco/,计算机体系结构/并行与分布计算/存储系统,期刊,B
17,TAAS,ACM Transactions on Autonomous and Adaptive Systems,ACM,http://dblp.uni-trier.de/db/journals/taas/,计算机体系结构/并行与分布计算/存储系统,期刊,B
